"customerkey","geographykey","customeralternatekey","firstname","middlename","lastname","maritalstatus","gender","yearlyincome","totalchildren","englishoccupation","datefirstpurchase"
23019,348,"AW00023019","Emma","D","Garcia","M","F","60000.00",1,"Skilled Manual","2022-05-15"
23020,623,"AW00023020","Hannah",NULL,"Jones","M","F","90000.00",0,"Professional","2023-01-04"
23021,298,"AW00023021","Stefanie","T","Mehta","M","F","100000.00",0,"Professional","2022-08-14"
23022,62,"AW00023022","Jocelyn",NULL,"Bradley","S","F","80000.00",5,"Professional","2022-05-24"
23023,609,"AW00023023","Naomi","W","Vazquez","M","F","90000.00",5,"Professional","2022-03-25"
23024,543,"AW00023024","Emma",NULL,"Davis","M","F","100000.00",1,"Professional","2022-05-13"
23025,644,"AW00023025","Richard",NULL,"Richardson","M","M","100000.00",1,"Professional","2022-08-28"
23026,325,"AW00023026","Jessica","M","Rogers","S","F","120000.00",1,"Professional","2022-08-20"
23027,338,"AW00023027","Fernando","J","Griffin","S","M","130000.00",1,"Management","2022-08-10"
23028,352,"AW00023028","Anna","D","Taylor","M","F","130000.00",1,"Management","2022-08-24"
23029,609,"AW00023029","Ian","R","Ross","M","M","80000.00",5,"Professional","2022-04-03"
23030,548,"AW00023030","Aidan",NULL,"Jenkins","M","M","90000.00",4,"Professional","2022-08-30"
23031,638,"AW00023031","Brooke","M","Morgan","S","F","90000.00",4,"Professional","2022-08-16"
23032,334,"AW00023032","Jesse",NULL,"Parker","M","M","130000.00",1,"Management","2022-08-18"
23033,334,"AW00023033","Alex","J","Turner","M","M","130000.00",1,"Management","2022-08-18"
23034,338,"AW00023034","Melanie","A","Cooper","S","F","130000.00",1,"Management","2022-08-21"
23035,345,"AW00023035","Maria",NULL,"Howard","M","F","130000.00",1,"Management","2022-08-14"
23036,358,"AW00023036","Caleb","H","Green","S","M","130000.00",1,"Management","2022-08-16"
23037,637,"AW00023037","Lucas","B","Wood","S","M","80000.00",2,"Skilled Manual","2023-01-21"
23038,634,"AW00023038","Sydney",NULL,"Reed","S","F","60000.00",2,"Professional","2022-05-13"
23039,310,"AW00023039","Wyatt",NULL,"Scott","M","M","60000.00",2,"Professional","2022-05-16"
23040,352,"AW00023040","Seth","A","Morgan","M","M","60000.00",2,"Professional","2022-05-24"
23041,337,"AW00023041","Natalie",NULL,"Garcia","S","F","70000.00",4,"Professional","2022-08-11"
23042,300,"AW00023042","Riley","M","Blue","S","F","70000.00",4,"Professional","2022-08-12"
23043,642,"AW00023043","Katherine","L","Moore","M","F","70000.00",4,"Professional","2022-12-20"
23044,539,"AW00023044","Aidan","B","Patterson","M","M","70000.00",2,"Skilled Manual","2022-04-09"
23045,641,"AW00023045","Gabriel","C","Patterson","M","M","70000.00",2,"Skilled Manual","2022-06-15"
23046,536,"AW00023046","Pamela",NULL,"Malhotra","M","F","40000.00",3,"Professional","2022-02-16"
23047,307,"AW00023047","Valerie",NULL,"Xu","M","F","70000.00",4,"Management","2022-08-11"
23048,59,"AW00023048","Isabella",NULL,"Hughes","M","F","40000.00",3,"Professional","2022-05-01"
23049,536,"AW00023049","Gina","J","Moreno","S","F","50000.00",2,"Management","2022-03-02"
23050,548,"AW00023050","Jack","P","Hall","M","M","50000.00",2,"Management","2022-02-04"
23051,552,"AW00023051","Jesse",NULL,"Green","M","M","60000.00",2,"Management","2022-03-18"
23052,343,"AW00023052","Steven","L","Stewart","M","M","130000.00",2,"Management","2022-08-04"
23053,623,"AW00023053","Anna",NULL,"Bailey","M","F","90000.00",4,"Professional","2022-10-28"
23054,627,"AW00023054","David","A","Moore","M","M","90000.00",4,"Professional","2022-07-14"
23055,547,"AW00023055","Seth",NULL,"Diaz","M","M","100000.00",0,"Professional","2022-08-20"
23056,331,"AW00023056","Alyssa","W","Perry","M","F","120000.00",1,"Professional","2022-08-16"
23057,64,"AW00023057","Caitlin","T","Richardson","M","F","60000.00",2,"Skilled Manual","2020-08-03"
23058,302,"AW00023058","Michelle","A","Rivera","S","F","70000.00",3,"Management","2022-07-31"
23059,552,"AW00023059","Spencer",NULL,"Price","M","M","70000.00",3,"Management","2022-08-10"
23060,352,"AW00023060","Isabella","C","Long","M","F","40000.00",3,"Professional","2022-05-31"
23061,343,"AW00023061","Jeremiah",NULL,"Sanders","M","M","40000.00",3,"Professional","2022-03-10"
23062,543,"AW00023062","Natalie",NULL,"Reed","M","F","60000.00",3,"Management","2022-10-13"
23063,339,"AW00023063","Jennifer","P","Thompson","M","F","60000.00",3,"Management","2022-12-16"
23064,609,"AW00023064","Alexander","S","Rodriguez","S","M","60000.00",3,"Management","2022-04-11"
23065,609,"AW00023065","Derek",NULL,"Nath","M","M","60000.00",3,"Management","2022-06-24"
23066,298,"AW00023066","Austin","M","Lal","M","M","60000.00",3,"Management","2022-05-03"
23067,302,"AW00023067","Kelli","M","Pal","M","F","60000.00",3,"Management","2022-05-31"
23068,307,"AW00023068","Ryan","R","Shan","M","M","60000.00",3,"Management","2022-11-11"
23069,299,"AW00023069","Anna","R","Gray","M","F","70000.00",5,"Management","2022-02-14"
23070,69,"AW00023070","Natalie","A","Hall","M","F","70000.00",5,"Management","2022-02-03"
23071,311,"AW00023071","Haley",NULL,"Gonzales","M","F","70000.00",5,"Management","2022-06-08"
23072,609,"AW00023072","Toni",NULL,"Srini","M","F","80000.00",4,"Management","2022-04-21"
23073,633,"AW00023073","Christian",NULL,"Griffin","M","M","80000.00",4,"Management","2022-08-16"
23074,62,"AW00023074","Megan","N","Flores","S","F","50000.00",4,"Management","2020-08-18"
23075,298,"AW00023075","Rebekah",NULL,"Sandberg","M","F","60000.00",3,"Management","2022-05-05"
23076,300,"AW00023076","Adrian","E","Brooks","M","M","60000.00",3,"Management","2022-12-25"
23077,14,"AW00023077","Marvin","A","Hernandez","M","M","20000.00",4,"Skilled Manual","2022-03-23"
23078,29,"AW00023078","Julio","J","Hernandez","M","M","10000.00",2,"Clerical","2022-07-07"
23079,40,"AW00023079","Justine","J.","Ryan","S","F","30000.00",2,"Clerical","2022-07-07"
23080,335,"AW00023080","Jocelyn",NULL,"Barnes","S","F","60000.00",0,"Skilled Manual","2022-05-16"
23081,355,"AW00023081","Brandon",NULL,"Powell","M","M","70000.00",0,"Skilled Manual","2022-08-03"
23082,372,"AW00023082","Jonathan",NULL,"Williams","M","M","70000.00",0,"Skilled Manual","2022-08-07"
23083,43,"AW00023083","Samuel","D","Smith","S","M","40000.00",0,"Clerical","2022-08-04"
23084,50,"AW00023084","Christian","L","Shan","S","M","40000.00",0,"Clerical","2022-06-19"
23085,30,"AW00023085","Ross","L","Subram","M","M","20000.00",2,"Skilled Manual","2022-10-17"
23086,38,"AW00023086","Tracy","W","Lal","M","F","20000.00",2,"Clerical","2022-03-24"
23087,27,"AW00023087","Clifford",NULL,"Martinez","M","M","20000.00",2,"Clerical","2022-08-28"
23088,609,"AW00023088","Wesley","L","Hu","S","M","40000.00",0,"Clerical","2022-02-08"
23089,618,"AW00023089","Lucas",NULL,"Walker","M","M","40000.00",0,"Skilled Manual","2022-03-11"
23090,626,"AW00023090","Christopher","M","Lee","S","M","40000.00",0,"Skilled Manual","2022-08-22"
23091,331,"AW00023091","Richard",NULL,"Peterson","S","M","60000.00",0,"Skilled Manual","2022-11-24"
23092,343,"AW00023092","Gabrielle","M","Brooks","S","F","70000.00",0,"Skilled Manual","2022-06-25"
23093,359,"AW00023093","Nathan","R","Parker","M","M","70000.00",0,"Skilled Manual","2023-01-06"
23094,36,"AW00023094","Carolyn",NULL,"Gill","M","F","20000.00",2,"Clerical","2022-04-27"
23095,30,"AW00023095","Gerald",NULL,"Patel","M","M","20000.00",2,"Clerical","2022-06-18"
23096,11,"AW00023096","Ashlee","N","Chande","M","F","20000.00",2,"Clerical","2022-04-29"
23097,38,"AW00023097","Tony",NULL,"Natsuhara","S","M","30000.00",3,"Clerical","2021-06-16"
23098,2,"AW00023098","Pedro","E","Rubio","S","M","30000.00",3,"Clerical","2021-06-01"
23099,18,"AW00023099","Kristi","D","Suarez","S","F","30000.00",3,"Skilled Manual","2021-06-28"
23100,20,"AW00023100","Christy",NULL,"Raje","M","F","30000.00",3,"Skilled Manual","2021-06-26"
23101,2,"AW00023101","Barbara","W","Lal","M","F","30000.00",3,"Skilled Manual","2021-06-16"
23102,18,"AW00023102","Barbara",NULL,"Zeng","M","F","30000.00",3,"Skilled Manual","2021-06-01"
23103,4,"AW00023103","Dwayne","T","Moreno","M","M","40000.00",2,"Skilled Manual","2022-05-17"
23104,20,"AW00023104","Isabelle","W","Long","M","F","40000.00",3,"Skilled Manual","2021-06-27"
23105,26,"AW00023105","Karl","M","Andersen","S","M","40000.00",3,"Clerical","2021-06-05"
23106,19,"AW00023106","Kathryn","L","Yuan","M","F","70000.00",2,"Skilled Manual","2021-06-15"
23107,6,"AW00023107","Michele",NULL,"Kumar","M","F","70000.00",2,"Skilled Manual","2021-06-27"
23108,616,"AW00023108","Savannah","L","Wright","S","F","40000.00",0,"Skilled Manual","2022-08-14"
23109,553,"AW00023109","Lauren","E","Hughes","S","F","40000.00",0,"Skilled Manual","2022-02-17"
23110,325,"AW00023110","Mackenzie",NULL,"Gonzalez","S","F","60000.00",0,"Skilled Manual","2022-05-26"
23111,336,"AW00023111","Sara",NULL,"Wright","S","F","60000.00",0,"Skilled Manual","2022-05-28"
23112,314,"AW00023112","James","C","Butler","S","M","50000.00",0,"Skilled Manual","2022-05-09"
23113,64,"AW00023113","Elijah","E","Powell","S","M","60000.00",0,"Skilled Manual","2020-08-19"
23114,50,"AW00023114","Caroline","D","Washington","S","F","60000.00",0,"Skilled Manual","2020-08-10"
23115,307,"AW00023115","Stephanie",NULL,"Nicholls","S","F","60000.00",0,"Professional","2022-03-02"
23116,24,"AW00023116","Jerome",NULL,"Vazquez","S","M","80000.00",2,"Skilled Manual","2021-07-28"
23117,4,"AW00023117","Bruce",NULL,"Sanz","M","M","80000.00",2,"Skilled Manual","2021-07-15"
23118,37,"AW00023118","Monique","R","Moreno","M","F","80000.00",2,"Skilled Manual","2021-07-04"
23119,6,"AW00023119","Gilbert",NULL,"Zhao","S","M","70000.00",2,"Professional","2021-07-29"
23120,29,"AW00023120","Javier",NULL,"Browning","S","M","70000.00",2,"Professional","2021-07-03"
23121,36,"AW00023121","Danny",NULL,"Ramos","M","M","70000.00",2,"Professional","2021-07-03"
23122,39,"AW00023122","Colleen",NULL,"Zhou","S","F","110000.00",4,"Management","2022-07-30"
23123,4,"AW00023123","Zoe",NULL,"Kelly","S","F","110000.00",4,"Management","2022-11-03"
23124,536,"AW00023124","Cameron","T","Wang","S","M","80000.00",0,"Management","2023-01-13"
23125,616,"AW00023125","Madeline",NULL,"Scott","S","F","80000.00",0,"Management","2022-08-01"
23126,300,"AW00023126","Carolyn",NULL,"Van","M","F","60000.00",0,"Professional","2022-12-10"
23127,302,"AW00023127","Haley","M","Hughes","M","F","60000.00",0,"Professional","2022-05-11"
23128,19,"AW00023128","Dylan","J","Jai","M","M","110000.00",1,"Management","2022-06-27"
23129,17,"AW00023129","Misty","R","Ashe","M","F","120000.00",4,"Management","2022-05-06"
23130,314,"AW00023130","Lauren","T","Russell","S","F","120000.00",2,"Management","2022-02-16"
23131,634,"AW00023131","Caitlin","J","Peterson","M","F","70000.00",2,"Skilled Manual","2022-10-01"
23132,368,"AW00023132","Anthony","M","Lee","M","M","70000.00",2,"Skilled Manual","2022-03-17"
23133,337,"AW00023133","Alexis","C","White","M","F","60000.00",2,"Professional","2022-08-31"
23134,71,"AW00023134","Alyssa","C","Robinson","M","F","60000.00",2,"Professional","2022-11-09"
23135,299,"AW00023135","Dylan","D","Clark","M","M","70000.00",3,"Professional","2022-08-27"
23136,311,"AW00023136","Stephanie","J","Peterson","S","F","80000.00",2,"Management","2022-09-06"
23137,62,"AW00023137","Chloe","C","Sanders","M","F","80000.00",2,"Management","2020-08-11"
23138,300,"AW00023138","Angela",NULL,"Peterson","S","F","90000.00",2,"Professional","2022-09-22"
23139,307,"AW00023139","Christian",NULL,"Yang","S","M","60000.00",2,"Professional","2022-06-06"
23140,612,"AW00023140","Tyler","A","Lee","M","M","60000.00",2,"Professional","2022-02-16"
23141,552,"AW00023141","Katherine","M","Long","M","F","70000.00",3,"Professional","2022-09-13"
23142,536,"AW00023142","Cara",NULL,"Wu","S","F","70000.00",3,"Professional","2022-09-13"
23143,618,"AW00023143","Jada","S","Phillips","M","F","50000.00",1,"Skilled Manual","2022-06-12"
23144,627,"AW00023144","Zachary","A","Alexander","M","M","50000.00",1,"Skilled Manual","2022-06-05"
23145,311,"AW00023145","Nichole",NULL,"Xie","M","F","60000.00",1,"Professional","2022-06-26"
23146,374,"AW00023146","Sarah",NULL,"Clark","S","F","70000.00",2,"Professional","2022-09-23"
23147,345,"AW00023147","Wyatt","P","Smith","M","M","40000.00",1,"Skilled Manual","2022-11-14"
23148,648,"AW00023148","Nathan","L","Ross","M","M","40000.00",1,"Skilled Manual","2022-06-18"
23149,311,"AW00023149","Brandi","M","Rubio","M","F","40000.00",1,"Skilled Manual","2022-08-30"
23150,339,"AW00023150","Gabriella",NULL,"Allen","M","F","40000.00",1,"Skilled Manual","2022-12-06"
23151,545,"AW00023151","Michael","A","Brown","M","M","40000.00",1,"Skilled Manual","2022-06-19"
23152,548,"AW00023152","Michelle",NULL,"Howard","M","F","40000.00",1,"Skilled Manual","2022-11-06"
23153,312,"AW00023153","Jenna","M","Hill","M","F","50000.00",1,"Skilled Manual","2022-03-21"
23154,644,"AW00023154","Connor","E","Phillips","M","M","50000.00",2,"Skilled Manual","2022-06-14"
23155,368,"AW00023155","Victoria","N","Hall","M","F","50000.00",2,"Skilled Manual","2022-06-10"
23156,548,"AW00023156","Samantha","J","Barnes","M","F","60000.00",1,"Professional","2022-06-26"
23157,536,"AW00023157","Valerie","C","Gao","M","F","60000.00",1,"Professional","2022-08-15"
23158,627,"AW00023158","Ana","L","Patterson","M","F","60000.00",1,"Professional","2022-06-24"
23159,300,"AW00023159","Dalton",NULL,"Phillips","M","M","70000.00",2,"Professional","2022-09-24"
23160,302,"AW00023160","Aimee",NULL,"Huang","M","F","70000.00",2,"Professional","2022-09-17"
23161,339,"AW00023161","Samuel","C","Scott","M","M","70000.00",3,"Professional","2022-08-31"
23162,355,"AW00023162","Sarah",NULL,"Flores","S","F","70000.00",3,"Professional","2022-09-13"
23163,374,"AW00023163","Madison","A","Ross","M","F","80000.00",1,"Professional","2022-09-17"
23164,53,"AW00023164","Kyle",NULL,"Bryant","S","M","60000.00",1,"Professional","2020-08-22"
23165,385,"AW00023165","Natalie","M","Mitchell","M","F","60000.00",1,"Professional","2022-06-13"
23166,326,"AW00023166","Cody",NULL,"Ward","S","M","40000.00",4,"Skilled Manual","2022-06-18"
23167,627,"AW00023167","Hailey","C","Jenkins","S","F","70000.00",2,"Skilled Manual","2022-09-22"
23168,552,"AW00023168","Mya","J","Hayes","M","F","70000.00",2,"Skilled Manual","2022-09-02"
23169,609,"AW00023169","Corey","T","Andersen","S","M","70000.00",2,"Skilled Manual","2022-09-22"
23170,301,"AW00023170","Aaron",NULL,"Jai","S","M","70000.00",2,"Skilled Manual","2022-09-03"
23171,312,"AW00023171","Ethan",NULL,"Griffin","M","M","40000.00",0,"Professional","2022-05-07"
23172,50,"AW00023172","Alexandra","C","Thomas","M","F","60000.00",1,"Professional","2020-08-03"
23173,627,"AW00023173","Nathan",NULL,"Rodriguez","S","M","60000.00",2,"Professional","2022-06-01"
23174,300,"AW00023174","Gloria","A","Gonzales","S","F","70000.00",4,"Professional","2022-09-03"
23175,355,"AW00023175","Melanie",NULL,"Flores","M","F","80000.00",1,"Professional","2022-09-05"
23176,358,"AW00023176","Jesse","A","Ward","M","M","50000.00",2,"Skilled Manual","2022-06-29"
23177,542,"AW00023177","Savannah",NULL,"Richardson","S","F","50000.00",2,"Skilled Manual","2022-06-11"
23178,632,"AW00023178","Dalton",NULL,"Morris","S","M","50000.00",2,"Skilled Manual","2022-06-21"
23179,632,"AW00023179","Jordan",NULL,"Phillips","M","M","60000.00",2,"Skilled Manual","2022-05-30"
23180,627,"AW00023180","Olivia","R","Cook","S","F","60000.00",0,"Professional","2022-06-29"
23181,609,"AW00023181","Evan",NULL,"Evans","S","M","60000.00",0,"Professional","2022-07-19"
23182,316,"AW00023182","Savannah",NULL,"Rivera","M","F","60000.00",0,"Professional","2023-01-09"
23183,348,"AW00023183","Megan","E","Davis","S","F","60000.00",0,"Professional","2022-07-04"
23184,339,"AW00023184","Hailey","L","Carter","S","F","60000.00",0,"Professional","2022-05-28"
23185,337,"AW00023185","Fernando",NULL,"Edwards","M","M","70000.00",4,"Professional","2022-09-24"
23186,338,"AW00023186","Jordan",NULL,"Young","M","M","70000.00",4,"Professional","2022-09-28"
23187,611,"AW00023187","Andy","C","Munoz","M","M","70000.00",5,"Professional","2022-09-18"
23188,632,"AW00023188","Austin","M","Jai","S","M","70000.00",5,"Professional","2022-02-26"
23189,374,"AW00023189","Megan","I","Moore","M","F","80000.00",3,"Professional","2022-09-01"
23190,298,"AW00023190","Nathaniel",NULL,"Ramirez","S","M","20000.00",3,"Clerical","2022-11-26"
23191,612,"AW00023191","Gilbert",NULL,"Raji","S","M","40000.00",0,"Professional","2022-07-15"
23192,352,"AW00023192","Emily","E","Garcia","M","F","40000.00",0,"Professional","2022-09-05"
23193,607,"AW00023193","Alexis",NULL,"Flores","M","F","50000.00",3,"Skilled Manual","2022-06-25"
23194,314,"AW00023194","Shelby","M","Cook","M","F","50000.00",3,"Skilled Manual","2022-11-05"
23195,547,"AW00023195","Xavier","D","Mohamed","S","M","50000.00",3,"Skilled Manual","2022-07-14"
23196,68,"AW00023196","Carlos",NULL,"Roberts","S","M","50000.00",3,"Skilled Manual","2022-06-06"
23197,338,"AW00023197","Cole","W","Cook","M","M","50000.00",3,"Skilled Manual","2022-07-30"
23198,536,"AW00023198","Jacqueline","L","Sanders","S","F","50000.00",3,"Skilled Manual","2022-04-01"
23199,644,"AW00023199","Brandon",NULL,"Hayes","M","M","50000.00",3,"Skilled Manual","2022-07-16"
23200,618,"AW00023200","Grace","C","Rodriguez","M","F","50000.00",3,"Skilled Manual","2022-06-06"
23201,336,"AW00023201","Alyssa","L","Butler","S","F","50000.00",3,"Skilled Manual","2022-08-13"
23202,609,"AW00023202","Terrance","G","Chandra","M","M","50000.00",3,"Skilled Manual","2022-11-04"
23203,635,"AW00023203","Dalton",NULL,"Jenkins","S","M","50000.00",4,"Skilled Manual","2022-10-24"
23204,641,"AW00023204","Katherine","C","Mitchell","S","F","40000.00",0,"Professional","2022-07-27"
23205,301,"AW00023205","Katherine",NULL,"Sanders","S","F","40000.00",0,"Professional","2022-05-09"
23206,383,"AW00023206","Jackson","E","Lal","S","M","40000.00",0,"Professional","2022-08-04"
23207,383,"AW00023207","Dalton","B","Baker","M","M","60000.00",4,"Skilled Manual","2022-08-07"
23208,70,"AW00023208","Janet","S","Watson","S","F","50000.00",1,"Professional","2022-08-01"
23209,62,"AW00023209","Lucas","A","Lewis","S","M","60000.00",4,"Skilled Manual","2020-08-10"
23210,311,"AW00023210","Timothy","K","Gray","M","M","70000.00",4,"Professional","2022-10-22"
23211,536,"AW00023211","Rebekah","E","Kovár","M","F","70000.00",4,"Professional","2022-10-13"
23212,322,"AW00023212","James","W","Jones","S","M","70000.00",0,"Professional","2022-11-23"
23213,337,"AW00023213","Noah",NULL,"Green","S","M","70000.00",0,"Professional","2022-10-22"
23214,335,"AW00023214","Kaylee","W","James","M","F","70000.00",4,"Professional","2022-10-19"
23215,358,"AW00023215","Juan","C","Richardson","M","M","70000.00",4,"Professional","2022-09-23"
23216,385,"AW00023216","Kevin","C","Hall","S","M","60000.00",3,"Professional","2022-07-28"
23217,352,"AW00023217","Michelle","C","Morgan","S","F","60000.00",3,"Professional","2022-07-03"
23218,121,"AW00023218","Alisha",NULL,"Gao","S","F","30000.00",0,"Manual","2022-12-15"
23219,234,"AW00023219","Alyssa",NULL,"West","S","F","30000.00",0,"Manual","2022-04-24"
23220,242,"AW00023220","Roy","P","Malhotra","S","M","30000.00",0,"Manual","2022-03-26"
23221,173,"AW00023221","Leonard","C","Rai","S","M","20000.00",0,"Manual","2022-07-13"
23222,184,"AW00023222","Kristen","A","Wu","S","F","30000.00",0,"Manual","2022-09-29"
23223,237,"AW00023223","Angel","A","Howard","M","M","40000.00",1,"Skilled Manual","2022-02-15"
23224,243,"AW00023224","Jonathan",NULL,"Scott","M","M","40000.00",1,"Skilled Manual","2022-02-02"
23225,272,"AW00023225","Heidi","R","Patel","S","F","40000.00",0,"Skilled Manual","2022-02-08"
23226,127,"AW00023226","Leonard","M","Xie","S","M","30000.00",0,"Manual","2022-07-15"
23227,207,"AW00023227","Anne",NULL,"Alonso","S","F","30000.00",0,"Manual","2022-09-30"
23228,123,"AW00023228","Candice",NULL,"Guo","S","F","20000.00",0,"Manual","2022-03-31"
23229,155,"AW00023229","Deborah","W","Raje","S","F","20000.00",0,"Manual","2022-10-08"
23230,273,"AW00023230","Mya","M","Foster","S","F","30000.00",0,"Manual","2022-03-27"
23231,184,"AW00023231","Dylan","H","Moore","S","M","30000.00",0,"Manual","2022-10-09"
23232,252,"AW00023232","Frank",NULL,"Serrano","S","M","30000.00",0,"Manual","2022-04-06"
23233,134,"AW00023233","Bradley",NULL,"Sharma","S","M","40000.00",2,"Clerical","2022-12-26"
23234,150,"AW00023234","Brent","R","Lu","S","M","40000.00",2,"Clerical","2021-12-30"
23235,246,"AW00023235","Cedric",NULL,"Pal","S","M","40000.00",2,"Clerical","2022-02-04"
23236,279,"AW00023236","Nichole",NULL,"Kumar","S","F","40000.00",2,"Clerical","2022-08-28"
23237,133,"AW00023237","Caleb","C","Young","S","M","40000.00",2,"Clerical","2022-02-22"
23439,11,"AW00023439","Ramon",NULL,"Hu","S","M","70000.00",0,"Professional","2022-03-15"
23238,301,"AW00023238","Thomas","A","Lee","S","M","40000.00",3,"Clerical","2022-07-08"
23239,299,"AW00023239","Curtis","O","Wu","S","M","40000.00",3,"Clerical","2022-07-14"
23240,611,"AW00023240","Phillip",NULL,"Chapman","S","M","40000.00",3,"Clerical","2022-09-26"
23241,611,"AW00023241","Armando",NULL,"Torres","S","M","40000.00",3,"Clerical","2022-06-13"
23242,611,"AW00023242","Andrew","J","Garcia","S","M","50000.00",0,"Skilled Manual","2022-07-19"
23243,548,"AW00023243","Jasmine","K","Rogers","M","F","40000.00",1,"Skilled Manual","2023-01-04"
23244,64,"AW00023244","Alexandra","E","Wagner","S","F","60000.00",0,"Skilled Manual","2022-05-13"
23245,68,"AW00023245","Morgan","E","James","S","F","60000.00",0,"Skilled Manual","2022-06-22"
23246,607,"AW00023246","Renee","L","Gill","S","F","60000.00",0,"Skilled Manual","2022-08-16"
23247,300,"AW00023247","Alexander",NULL,"Garcia","S","M","60000.00",0,"Skilled Manual","2022-11-11"
23248,635,"AW00023248","Bailey","D","Peterson","M","F","10000.00",2,"Manual","2022-09-18"
23249,611,"AW00023249","Tasha",NULL,"Nara","S","F","20000.00",2,"Manual","2022-02-03"
23250,626,"AW00023250","Ashley","D","Lee","M","F","20000.00",2,"Manual","2022-09-24"
23251,637,"AW00023251","Evan","C","Scott","M","M","20000.00",2,"Manual","2022-03-17"
23252,348,"AW00023252","Alexia",NULL,"Wood","S","F","20000.00",2,"Manual","2022-02-17"
23253,64,"AW00023253","Brooke","H","Bell","S","F","20000.00",2,"Manual","2022-07-09"
23254,307,"AW00023254","Jack","A","Gonzalez","S","M","20000.00",2,"Manual","2022-02-23"
23255,51,"AW00023255","Xavier","R","Johnson","S","M","20000.00",2,"Manual","2022-02-22"
23256,298,"AW00023256","Mario","P","Chande","S","M","30000.00",1,"Clerical","2022-09-20"
23257,322,"AW00023257","Charles","F","Stewart","M","M","40000.00",1,"Clerical","2022-07-13"
23258,374,"AW00023258","Megan","S","Watson","S","F","30000.00",1,"Clerical","2022-06-22"
23259,632,"AW00023259","John",NULL,"Taylor","M","M","30000.00",2,"Clerical","2022-11-10"
23260,536,"AW00023260","Edwin",NULL,"Goel","M","M","30000.00",2,"Clerical","2022-10-23"
23261,618,"AW00023261","Jada",NULL,"Peterson","S","F","30000.00",2,"Clerical","2022-07-10"
23262,539,"AW00023262","Sydney",NULL,"Kelly","S","F","30000.00",2,"Clerical","2022-10-13"
23263,612,"AW00023263","Angel",NULL,"Lopez","S","M","30000.00",2,"Skilled Manual","2022-08-15"
23264,609,"AW00023264","Warren",NULL,"Hu","M","M","40000.00",1,"Clerical","2022-07-21"
23265,616,"AW00023265","Savannah",NULL,"James","M","F","40000.00",1,"Clerical","2022-07-04"
23266,631,"AW00023266","Jessica",NULL,"Watson","M","F","40000.00",1,"Clerical","2022-07-13"
23267,49,"AW00023267","Juan",NULL,"James","M","M","40000.00",1,"Clerical","2020-08-24"
23268,352,"AW00023268","Katelyn","E","Morris","M","F","40000.00",1,"Clerical","2022-07-21"
23269,316,"AW00023269","Taylor","E","Griffin","M","F","40000.00",1,"Clerical","2022-07-27"
23270,314,"AW00023270","Anna","R","Anderson","M","F","40000.00",1,"Clerical","2022-08-02"
23271,300,"AW00023271","Alexandra","R","Clark","M","F","30000.00",2,"Skilled Manual","2022-08-08"
23272,337,"AW00023272","Tristan","E","Hayes","M","M","30000.00",2,"Skilled Manual","2022-03-22"
23273,642,"AW00023273","Benjamin","C","Long","M","M","30000.00",2,"Skilled Manual","2023-01-27"
23274,637,"AW00023274","Ethan","C","Jackson","M","M","30000.00",2,"Skilled Manual","2022-02-27"
23275,338,"AW00023275","Miguel","S","Jackson","M","M","30000.00",2,"Skilled Manual","2022-11-06"
23276,298,"AW00023276","Vincent","A","Zhou","M","M","30000.00",2,"Skilled Manual","2022-07-11"
23277,355,"AW00023277","Isaiah","E","Torres","M","M","30000.00",2,"Skilled Manual","2022-02-04"
23278,312,"AW00023278","Chloe","F","Flores","S","F","30000.00",2,"Skilled Manual","2022-06-14"
23279,62,"AW00023279","Edward","H","Johnson","S","M","30000.00",2,"Skilled Manual","2022-10-28"
23280,546,"AW00023280","Hannah","A","Alexander","M","F","30000.00",2,"Skilled Manual","2022-05-07"
23281,66,"AW00023281","Megan",NULL,"Harris","M","F","40000.00",1,"Clerical","2020-09-28"
23282,545,"AW00023282","Ariana",NULL,"James","M","F","40000.00",1,"Clerical","2022-05-01"
23283,62,"AW00023283","Haley","W","Torres","S","F","40000.00",2,"Clerical","2020-09-13"
23284,53,"AW00023284","Wyatt","M","Coleman","S","M","80000.00",5,"Skilled Manual","2022-07-23"
23285,611,"AW00023285","Latoya","D","Luo","S","F","80000.00",4,"Skilled Manual","2023-01-17"
23286,355,"AW00023286","Taylor","G","Bell","M","F","80000.00",4,"Skilled Manual","2022-07-17"
23287,326,"AW00023287","Juan","N","Kelly","S","M","40000.00",2,"Clerical","2022-08-01"
23288,348,"AW00023288","Eduardo",NULL,"Evans","S","M","60000.00",4,"Skilled Manual","2022-08-02"
23289,553,"AW00023289","Justin","A","Robinson","M","M","60000.00",4,"Skilled Manual","2022-02-13"
23290,49,"AW00023290","Angelica","L","Bennett","M","F","60000.00",4,"Skilled Manual","2023-01-11"
23291,545,"AW00023291","Timothy",NULL,"Evans","M","M","60000.00",4,"Skilled Manual","2023-01-22"
23292,623,"AW00023292","Jose","J","Russell","S","M","60000.00",4,"Skilled Manual","2022-07-30"
23293,385,"AW00023293","Kaylee",NULL,"Peterson","S","F","60000.00",4,"Skilled Manual","2022-09-01"
23294,609,"AW00023294","Suzanne","R","Chen","M","F","60000.00",4,"Skilled Manual","2022-06-01"
23295,298,"AW00023295","Jaime","M","Torres","S","F","60000.00",4,"Skilled Manual","2022-09-13"
23296,298,"AW00023296","Molly","C","Mehta","S","F","40000.00",4,"Clerical","2022-08-22"
